Comment,Designator,Footprint,LCSC Part Number
10uF,"C11, C21, C31, C41, C51, C61, C71, C81",C_0805_2012Metric,C440198
1uF,"C12, C22, C32, C42, C52, C62, C72, C82",C_0805_2012Metric,C376929
10nF,"C101, C311, C321",C_0805_2012Metric,C2688117
100nF,"C331, C411, C601",C_0805_2012Metric,C282732
MBR0560,"D11, D21, D31, D41, D51, D61, D71, D81",D_SOD-123,C77338
BZT52C10,D101,D_SOD-323,C353564
Pow,D201,D_1206_3216Metric,C400035
1A 6V,F201,Fuse_0805_2012Metric,C883112
0.5A 6V,F202,Fuse_0805_2012Metric,C269104
100uH,"L11, L21, L31, L41, L51, L61, L71, L81",L_Bourns_SRN6045TA,C439379
BSS138,Q801,SOT-23,C400505
0.3Ω,"R11, R21, R31, R41, R51, R61, R71, R81",R_0805_2012Metric,C247157
1kΩ,"R12, R22, R32, R42, R52, R62, R72, R82",R_0805_2012Metric,C100046
82kΩ,R101,R_0805_2012Metric,C229256
3k9Ω,R201,R_0805_2012Metric,C26021
10kΩ,"R311, R312, R321, R322",R_0805_2012Metric,C115295
39kΩ,"R331, R411",R_0805_2012Metric,C294712
6k8Ω,"R332, R412",R_0805_2012Metric,C26026
4k7Ω,R701,R_0805_2012Metric,C229219
10kΩ,"R801, R802",R_0805_2012Metric,C25612
33Ω,R803,R_0805_2012Metric,C25307
220Ω,R804,R_0805_2012Metric,C114519
PT4115,"U11, U21, U31, U41, U51, U61, U71, U81",SOT-89-5,C84512
